x_position,y_position,x_velocity,y_velocity,x_force,y_force,x_acceleration,y_acceleration
-2.7726025635484794e-13,1.60036665384879e-14,15159829.096768023,2444.358991931857,-0.4033192336687563,0.02151035912900034,-6.110897479829641e+25,3.2591453225758094e+24
-2.5473843610462647e-13,1.6019308529083786e-14,15060378.564579688,7983.634738659855,-0.4718454495886022,0.027235267442206047,-7.149173478615185e+25,4.126555673061522e+24
-2.32403914445875e-13,1.6046554771708413e-14,14943299.906923927,15069.244994954017,-0.5584467377820875,0.035118102813182575,-8.461314208819508e+25,5.320924668664026e+24
-2.1029357022718758e-13,1.60890175701703e-14,14803689.335691072,24317.838806425847,-0.6701262890670439,0.04626952272776956,-1.0153428622227937e+26,7.010533746631752e+24
-1.8845577081145537e-13,1.6151924169120327e-14,14634683.658488184,36679.83232337744,-0.8171236703183637,0.06251602022140446,-1.238066167149036e+26,9.472124275970372e+24
-1.6695535707833129e-13,1.6243087474939115e-14,14426464.117952237,53671.44400554741,-1.0152082863979743,0.08701016258169122,-1.5381943733302642e+26,1.3183357966922913e+25
-1.4588154697415668e-13,1.6374640794043584e-14,14164571.314116172,77814.6942611215,-1.2894483873593978,0.12545043966736077,-1.9537096778172695e+26,1.9007642373842542e+25
-1.25360819988404e-13,1.656629363601375e-14,13827012.883004742,113512.82953306298,-1.6810658064212005,0.1886931507257242,-2.5470694036684855e+26,2.8589871322079424e+25
-1.055786465528356e-13,1.6851801148802864e-14,13379145.828987412,168895.93836784858,-2.2601642689313,0.2986782070203891,-3.4244913165625754e+26,4.525427379096805e+25
-8.68172347788057e-14,1.729264724952987e-14,12764444.698095454,259956.69514144555,-3.1492056829179322,0.5026564525872641,-4.771523761996867e+26,7.61600685738279e+25
-6.952182534916138e-14,1.8008841212871532e-14,11888137.23524598,420342.59079740295,-4.5622999901574275,0.9087394291851609,-6.912575742662768e+26,1.3768779230078197e+26
-5.4411220761505474e-14,1.9251262108403502e-14,10592179.572470313,725014.7527957277,-6.842127442268445,1.7723755964000965,-1.0366859761012795e+27,2.6854175703031765e+26
-4.261398262725257e-14,2.1565174659580052e-14,8642339.90491123,1341202.0496782963,-10.316461632251494,3.6500726161665087,-1.5631002473108325e+27,5.5304130547977405e+26
-3.559804121436162e-14,2.605134323503276e-14,5849619.460743761,2575998.071191973,-14.259478276422232,7.216132373153848,-2.1605270115791262e+27,1.0933533898717952e+27
-3.426170067037021e-14,3.426121342156954e-14,2511288.9546786137,4653231.748620673,-15.117830176951065,11.063523988218714,-2.2905803298410705e+27,1.6762915133664717e+27
-3.7520103126363376e-14,4.688422047969497e-14,-454333.0566146397,7158119.403725434,-10.979643522429566,10.979487376703187,-1.6635823518832676e+27,1.663558693439877e+27
-4.3021366228442155e-14,6.270982915786917e-14,-2419821.970806735,9302736.765369559,-6.316658922460873,7.893145405765105,-9.570695337061929e+26,1.1959311220856219e+27
-4.941231050679719e-14,8.024074235276958e-14,-3542827.368623712,10790327.121702723,-3.565788578328523,5.197649729966747,-5.4027099671644284e+26,7.87522686358598e+26
-5.6309067346652946e-14,9.879397848307569e-14,-4192634.645699839,11778182.072101787,-2.1525154599413936,3.4954738335450086,-3.261387060517263e+26,5.296172475068195e+26
-6.356977964982648e-14,1.1807036941178128e-13,-4595870.839243564,12453714.350173619,-1.3959630432433865,2.4492102134871114,-2.115095520065737e+26,3.710924565889563e+26
-7.110329749728836e-14,1.3789015845803156e-13,-4863713.067636326,12934873.355058478,-0.9610485666129223,1.784989029499654,-1.456134191837761e+26,2.7045288325752332e+26
-7.8844813139428e-14,1.5813043662499397e-13,-5051800.363705267,13290679.115531798,-0.6941196387937647,1.3461016626655604,-1.051696422414795e+26,2.0395479737356977e+26
